<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
model,generative_type,rank,catalan,french,italian,portuguese,romanian,spanish,parameters,vocabulary_size,context,commercial,merge
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.53@@2.53,2.67@@2.67,1.91@@1.91,2.60@@2.60,2.69@@2.69,2.55@@2.55,2.74@@2.74,32233522176.0,100278.0,65536.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.55@@2.55,2.49@@2.49,2.17@@2.17,2.69@@2.69,2.58@@2.58,2.84@@2.84,2.55@@2.55,3191396096.0,100352.0,131072.0,✓,✗
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.64@@2.64,2.50@@2.50,2.33@@2.33,2.83@@2.83,2.69@@2.69,2.83@@2.83,2.66@@2.66,21948655808.0,103424.0,131072.0,✓,✗
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct</a>,📝,2.65@@2.65,2.57@@2.57,2.36@@2.36,2.78@@2.78,2.77@@2.77,2.89@@2.89,2.51@@2.51,1720574976.0,151936.0,40960.0,✗,✗
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.65@@2.65,2.85@@2.85,2.27@@2.27,2.63@@2.63,2.78@@2.78,2.85@@2.85,2.52@@2.52,4300079472.0,262144.0,8192.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.71@@2.71,2.64@@2.64,2.32@@2.32,2.70@@2.70,2.93@@2.93,3.03@@3.03,2.61@@2.61,9152319488.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.72@@2.72,2.44@@2.44,2.45@@2.45,2.86@@2.86,2.86@@2.86,2.83@@2.83,2.88@@2.88,40433885184.0,256000.0,32768.0,✓,✗
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.73@@2.73,2.51@@2.51,2.38@@2.38,2.83@@2.83,2.97@@2.97,2.76@@2.76,2.95@@2.95,4300079472.0,262144.0,8192.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.73@@2.73,2.56@@2.56,2.49@@2.49,2.93@@2.93,2.81@@2.81,2.92@@2.92,2.69@@2.69,2031739904.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.76@@2.76,2.76@@2.76,2.32@@2.32,2.87@@2.87,2.88@@2.88,2.93@@2.93,2.79@@2.79,7298011136.0,100278.0,65536.0,✓,✗
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.77@@2.77,2.88@@2.88,2.38@@2.38,2.85@@2.85,2.89@@2.89,3.02@@3.02,2.61@@2.61,9152319488.0,128000.0,4096.0,✗,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,2.81@@2.81,3.11@@3.11,2.46@@2.46,2.77@@2.77,2.77@@2.77,3.24@@3.24,2.52@@2.52,3606752256.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.81@@2.81,2.66@@2.66,2.47@@2.47,2.51@@2.51,2.79@@2.79,3.28@@3.28,3.15@@3.15,21511953984.0,201088.0,131072.0,✓,✗
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,2.82@@2.82,3.12@@3.12,2.31@@2.31,2.81@@2.81,2.77@@2.77,3.46@@3.46,2.43@@2.43,2569272320.0,65536.0,128000.0,✗,✗
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.85@@2.85,2.82@@2.82,2.41@@2.41,2.79@@2.79,3.01@@3.01,3.18@@3.18,2.87@@2.87,3075098624.0,128256.0,65536.0,✓,✗
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.86@@2.86,3.06@@3.06,2.53@@2.53,3.00@@3.00,2.76@@2.76,3.08@@3.08,2.74@@2.74,7298011136.0,100278.0,65536.0,✗,✗
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,2.88@@2.88,2.52@@2.52,2.64@@2.64,3.28@@3.28,2.98@@2.98,2.97@@2.97,2.91@@2.91,7241748480.0,32002.0,32768.0,✗,✗
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,2.90@@2.90,3.00@@3.00,2.62@@2.62,3.10@@3.10,2.83@@2.83,3.05@@3.05,2.78@@2.78,7298011136.0,100278.0,65536.0,✗,✗
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,2.91@@2.91,2.75@@2.75,2.43@@2.43,3.21@@3.21,2.94@@2.94,3.10@@3.10,3.03@@3.03,6939037248.0,100352.0,131072.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,2.91@@2.91,3.02@@3.02,2.55@@2.55,3.03@@3.03,2.98@@2.98,3.26@@3.26,2.64@@2.64,3212749824.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,2.94@@2.94,3.06@@3.06,2.54@@2.54,2.92@@2.92,3.11@@3.11,3.08@@3.08,2.91@@2.91,7241732096.0,32000.0,32768.0,✓,✗
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,2.94@@2.94,3.03@@3.03,2.51@@2.51,3.01@@3.01,3.01@@3.01,3.26@@3.26,2.83@@2.83,7768117248.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,2.95@@2.95,3.29@@3.29,2.53@@2.53,2.98@@2.98,2.87@@2.87,3.38@@3.38,2.63@@2.63,1543714304.0,151936.0,32768.0,✓,✗
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.02@@3.02,3.24@@3.24,2.86@@2.86,3.12@@3.12,2.92@@2.92,3.19@@3.19,2.79@@2.79,7298011136.0,100278.0,65536.0,✗,✗
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.06@@3.06,3.33@@3.33,2.67@@2.67,3.09@@3.09,3.22@@3.22,3.08@@3.08,2.98@@2.98,7768117248.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,3.19@@3.19,2.85@@2.85,2.94@@2.94,3.43@@3.43,3.35@@3.35,3.47@@3.47,3.10@@3.10,7799574528.0,100096.0,4096.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.29@@3.29,3.08@@3.08,3.09@@3.09,3.51@@3.51,3.35@@3.35,3.47@@3.47,3.21@@3.21,751632384.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.32@@3.32,3.32@@3.32,2.89@@2.89,3.50@@3.50,3.36@@3.36,3.60@@3.60,3.27@@3.27,2424375168.0,99000.0,28723.0,✗,✗
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.35@@3.35,3.47@@3.47,2.87@@2.87,3.46@@3.46,3.29@@3.29,4.02@@4.02,3.00@@3.00,1170340608.0,65536.0,128000.0,✗,✗
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.39@@3.39,3.53@@3.53,3.15@@3.15,3.51@@3.51,3.37@@3.37,3.56@@3.56,3.22@@3.22,999885952.0,262144.0,32768.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.52@@3.52,3.77@@3.77,3.04@@3.04,3.54@@3.54,3.39@@3.39,4.02@@4.02,3.35@@3.35,1235814400.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.53@@3.53,3.81@@3.81,3.01@@3.01,3.62@@3.62,3.40@@3.40,4.18@@4.18,3.18@@3.18,742489344.0,65536.0,128000.0,✗,✗
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.58@@3.58,3.29@@3.29,3.26@@3.26,3.93@@3.93,3.79@@3.79,3.71@@3.71,3.49@@3.49,1235814400.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.59@@3.59,3.58@@3.58,3.32@@3.32,3.72@@3.72,3.71@@3.71,3.75@@3.75,3.49@@3.49,999885952.0,262144.0,32768.0,✓,✗
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.71@@3.71,3.57@@3.57,3.41@@3.41,3.90@@3.90,3.82@@3.82,4.00@@4.00,3.54@@3.54,2611528704.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.73@@3.73,3.61@@3.61,3.45@@3.45,3.93@@3.93,4.01@@4.01,3.78@@3.78,3.61@@3.61,3211926528.0,65536.0,4096.0,✓,✗
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.79@@3.79,3.76@@3.76,3.46@@3.46,3.85@@3.85,3.92@@3.92,3.94@@3.94,3.80@@3.80,1195468800.0,65536.0,2048.0,✓,✗
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.81@@3.81,3.75@@3.75,3.41@@3.41,4.07@@4.07,3.89@@3.89,4.13@@4.13,3.63@@3.63,2611528704.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,3.96@@3.96,4.04@@4.04,3.74@@3.74,3.98@@3.98,3.90@@3.90,4.41@@4.41,3.66@@3.66,354483968.0,65536.0,128000.0,✗,✗
