<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,1.90@@1.90,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,1.69@@1.69,2.36@@2.36,1.64@@1.64
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,1.90@@1.90,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,1.76@@1.76,2.13@@2.13,1.80@@1.80
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,1.90@@1.90,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,1.84@@1.84,1.96@@1.96,1.88@@1.88
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,1.92@@1.92,21511953984.0,201088.0,131072.0,✓,✗,✗,✓,1.83@@1.83,2.14@@2.14,1.78@@1.78
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,1.92@@1.92,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,1.76@@1.76,2.25@@2.25,1.76@@1.76
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,1.93@@1.93,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,1.92@@1.92,2.14@@2.14,1.75@@1.75
<a href='https://hf.co/vesteinn/FoBERT'>vesteinn/FoBERT</a>,🔍,1.93@@1.93,124498007.0,50005.0,514.0,✓,✗,(✓),✓,2.08@@2.08,1.86@@1.86,1.86@@1.86
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,1.94@@1.94,9653100528.0,248044.0,8192.0,✓,✗,(✓),✓,1.92@@1.92,2.07@@2.07,1.82@@1.82
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,1.95@@1.95,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,1.87@@1.87,2.05@@2.05,1.92@@1.92
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,1.96@@1.96,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,1.87@@1.87,2.12@@2.12,1.89@@1.89
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,1.97@@1.97,4022468096.0,151936.0,262144.0,✗,✗,(✓),✗,1.91@@1.91,2.13@@2.13,1.86@@1.86
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,1.98@@1.98,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,1.84@@1.84,2.06@@2.06,2.03@@2.03
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.01@@2.01,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,1.84@@1.84,2.46@@2.46,1.74@@1.74
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,2.01@@2.01,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,2.01@@2.01,2.16@@2.16,1.85@@1.85
