<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.46@@2.46,5.19,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,2.43@@2.43,2.58@@2.58,2.37@@2.37
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.46@@2.46,11.53,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,2.38@@2.38,2.56@@2.56,2.44@@2.44
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.46@@2.46,11.32,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,2.40@@2.40,2.56@@2.56,2.43@@2.43
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.46@@2.46,N/A,9152319488.0,128000.0,4096.0,✓,✗,(✓),✓,2.31@@2.31,2.59@@2.59,2.47@@2.47
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.48@@2.48,N/A,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,2.50@@2.50,2.66@@2.66,2.28@@2.28
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.49@@2.49,6.87,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,2.40@@2.40,2.71@@2.71,2.37@@2.37
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.51@@2.51,9.5,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,2.43@@2.43,2.62@@2.62,2.48@@2.48
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.51@@2.51,N/A,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,2.50@@2.50,2.58@@2.58,2.46@@2.46
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,2.51@@2.51,?,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,2.31@@2.31,2.66@@2.66,2.56@@2.56
<a href='https://hf.co/NbAiLab/borealis-4b-instruct-preview'>NbAiLab/borealis-4b-instruct-preview (val)</a>,📝,2.52@@2.52,9.27,3880263168.0,262144.0,8192.0,✓,✗,(✓),✗,2.56@@2.56,2.43@@2.43,2.57@@2.57
