<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,
model,generative_type,rank,estonian,finnish,parameters,vocabulary_size,context,commercial,merge
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.63@@2.63,2.91@@2.91,2.35@@2.35,32233522176.0,100278.0,65536.0,✗,✗
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.64@@2.64,2.81@@2.81,2.47@@2.47,32234279936.0,100352.0,4096.0,✗,✗
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.65@@2.65,2.97@@2.97,2.33@@2.33,32233522176.0,100278.0,65536.0,✗,✗
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.65@@2.65,2.94@@2.94,2.37@@2.37,32233522176.0,100278.0,65536.0,✗,✗
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,2.66@@2.66,2.83@@2.83,2.49@@2.49,4022468096.0,151936.0,262144.0,✓,✗
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,2.67@@2.67,2.75@@2.75,2.59@@2.59,7768117248.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.67@@2.67,2.79@@2.79,2.55@@2.55,4300079472.0,262144.0,?,✓,✗
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.68@@2.68,2.98@@2.98,2.37@@2.37,32233522176.0,100278.0,65536.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.68@@2.68,2.99@@2.99,2.38@@2.38,8030261248.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.70@@2.70,2.91@@2.91,2.49@@2.49,4300079472.0,262144.0,?,✓,✗
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,2.70@@2.70,3.19@@3.19,2.21@@2.21,10731524096.0,32000.0,4096.0,✓,✗
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.71@@2.71,2.93@@2.93,2.48@@2.48,21948655808.0,103424.0,131072.0,✓,✗
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.79@@2.79,3.10@@3.10,2.47@@2.47,21511953984.0,201088.0,131072.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.85@@2.85,3.09@@3.09,2.60@@2.60,3191396096.0,100352.0,131072.0,✓,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,2.86@@2.86,3.15@@3.15,2.58@@2.58,3606752256.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.92@@2.92,3.14@@3.14,2.69@@2.69,3402836480.0,100352.0,131072.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,2.95@@2.95,3.19@@3.19,2.71@@2.71,3212749824.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.96@@2.96,3.15@@3.15,2.78@@2.78,2031739904.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,📝,2.96@@2.96,3.15@@3.15,2.78@@2.78,2031739904.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.98@@2.98,3.38@@3.38,2.58@@2.58,7298011136.0,100278.0,65536.0,✓,✗
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,2.98@@2.98,3.18@@3.18,2.78@@2.78,11168796672.0,32128.0,32768.0,✓,✗
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,3.00@@3.00,3.28@@3.28,2.72@@2.72,8888227328.0,131072.0,131072.0,✓,✗
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.02@@3.02,3.32@@3.32,2.71@@2.71,7768117248.0,256000.0,8192.0,✓,✗
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,3.03@@3.03,3.55@@3.55,2.51@@2.51,4676271104.0,131072.0,?,✓,✗
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,3.05@@3.05,3.24@@3.24,2.85@@2.85,6939037248.0,100352.0,131072.0,✓,✗
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,3.13@@3.13,3.44@@3.44,2.82@@2.82,7241748480.0,32002.0,32768.0,✗,✗
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,3.14@@3.14,3.42@@3.42,2.86@@2.86,528384.0,100278.0,65536.0,✗,✗
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,3.18@@3.18,3.46@@3.46,2.89@@2.89,7298011136.0,100278.0,65536.0,✗,✗
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,3.18@@3.18,3.53@@3.53,2.83@@2.83,7799574528.0,100096.0,4096.0,✓,✗
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,3.19@@3.19,3.59@@3.59,2.79@@2.79,7241732096.0,32000.0,32768.0,✓,✗
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,3.20@@3.20,3.41@@3.41,2.98@@2.98,1543714304.0,151936.0,32768.0,✓,✗
<a href='https://hf.co/Finnish-NLP/Ahma-2-4B-Instruct'>Finnish-NLP/Ahma-2-4B-Instruct</a>,📝,3.21@@3.21,3.28@@3.28,3.13@@3.13,3880099328.0,262144.0,131072.0,✓,✗
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.21@@3.21,3.49@@3.49,2.92@@2.92,7298011136.0,100278.0,65536.0,✗,✗
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,3.28@@3.28,3.56@@3.56,3.01@@3.01,3075098624.0,128256.0,65536.0,✓,✗
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,3.45@@3.45,3.63@@3.63,3.28@@3.28,2569272320.0,65536.0,128000.0,✗,✗
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.46@@3.46,3.84@@3.84,3.08@@3.08,751632384.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.51@@3.51,3.76@@3.76,3.27@@3.27,999885952.0,262144.0,32768.0,✓,✗
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,3.51@@3.51,3.49@@3.49,3.53@@3.53,2023868416.0,64000.0,4096.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B</a>,🤔,3.53@@3.53,3.84@@3.84,3.23@@3.23,751632384.0,151936.0,40960.0,✓,✗
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.54@@3.54,3.82@@3.82,3.26@@3.26,2611528704.0,128000.0,4096.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.57@@3.57,3.92@@3.92,3.21@@3.21,1235814400.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.61@@3.61,3.75@@3.75,3.47@@3.47,1235814400.0,128256.0,131072.0,✓,✗
